Index,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,ID
24841,Impeccable Aka Masoom,2004 TV Movie,46 min,-,-,Drama            ,urdu,tt3726248
24842,Anbulla Appa,1987,127 min,6.1,11,Drama            ,tamil,tt1435455
24843,Ghat: The Hill Station,2007,100 min,-,-,Horror            ,hindi,tt0937364
24844,Bodhodaya,1951,-,-,-,Drama            ,bengali,tt0249407
24845,Veera Pandian,1987,-,5.7,6,-,tamil,tt0215311
24846,Happy Happy Ga,2010,-,4.6,24,Drama            ,telugu,tt2398173
24847,Motu Patlu: King of Kings,2016,110 min,6.8,127,"Animation, Adventure, Comedy            ",hindi,tt6278732
24848,Mamaku Tagga Alludu,1960,-,-,-,Comedy            ,telugu,tt0256911
24849,Ghar Me Raaj Lugayan Ko,1989,-,-,-,Drama            ,rajastani,tt13091904
24850,Chila Nerangalil Chilar,,-,-,-,Drama            ,malayalam,-
24851,Annakodi,2013,-,3.7,17,Drama            ,tamil,tt4312710
24852,Vidaaya,2015,-,-,-,Drama            ,kannada,tt4738860
24853,Taan,2014,126 min,5.1,30,Drama            ,bengali,tt5486464
24854,Pravarakyudu,2009,154 min,5.5,55,Family            ,telugu,tt1579669
24855,Amavas,2019,134 min,2.7,301,"Horror, Thriller            ",hindi,tt8396186
24856,Turbo Peter,,-,-,-,-,malayalam,-
24857,Rowdy,2014,109 min,6.4,"1,247","Action, Crime, Drama            ",telugu,tt3657434
24858,Dikshya,2019,2 min,-,-,"Short, Drama            ",nepali,tt11724614
24859,Zordaar,1996,-,4.9,27,Action            ,hindi,tt0405499
24860,Chann Pardesee,1980,147 min,8.1,60,Drama            ,punjabi,tt0310865
24861,Shart: The Challenge,2004,136 min,3.5,150,"Drama, Romance            ",hindi,tt0410591
24862,Overtime,I 2012,114 min,4.8,25,Drama            ,hindi,tt2404673
24863,Anta Mana Manchike,1972,176 min,-,-,-,telugu,tt0259187
24864,Yoddha The Warrior,2014,151 min,3.9,226,"Action, Drama, Fantasy            ",bengali,tt4061558
24865,PRD,2017 Video,-,-,-,"Short, News            ",malayalam,tt14392320
24866,Naani,2016,-,5,26,"Horror, Sci-Fi, Thriller            ",kannada,tt5815262
24867,Kalankita Nayak,1970,119 min,7.2,20,Drama            ,bengali,tt0214831
24868,Chambal Ka Badshah,1986,130 min,-,-,Action            ,hindi,tt0440194
24869,Rani Aur Maharani,1993,-,4.5,8,"Action, Thriller            ",hindi,tt1027850
24870,Pathini Penn,1993,-,-,-,Drama            ,tamil,tt3269102
24871,Baap ji,1996,136 min,-,-,Action            ,hindi,tt4978228
24872,Velipadukal: Biography of a Sacred Cow,2008 Video,69 min,-,-,"Drama, Fantasy, Sci-Fi            ",malayalam,tt1338699
24873,Enakku Veru Engum Kilaigal Kidayathu,2016,124 min,4.6,34,"Comedy, Drama            ",tamil,tt6001910
24874,Annai Abirami,1971,-,-,-,Drama            ,tamil,tt13913214
24875,Badnam Basti,1971,100 min,6.6,10,Drama            ,hindi,tt0370319
24876,Bluff Master,1963,135 min,6.5,111,Romance            ,hindi,tt0213524
24877,Pirates 1.0,2017,120 min,5.9,16,Thriller            ,hindi,tt6893404
